Summary,Issue key,Issue id,Status,Project key,Project name,Priority,Assignee,Components,,Custom field (Root Cause)
3.1 P&C | ODS Risk PC _PAS Table - The Column BureauClassCodePhraseology is not populated as expected,AAA-5016,207880,Done,AAA,AAA,Medium,Williams,,,Coding
LTI - Employers Limits of Liability should be pulling the current limits into the renewal policy,EEE-1675,207854,Cancelled,EEE,PolicyCenter,Very High,Peter,PolicyCenter,,Coding
UAT1- IM 7005 Sched of Cov - Contractors' Equipment: <None> should not be valid selection for Deductible,XXX-32401,207852,Ready for QA,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
UAT1 - IM 7005 Sched of Cov-Contractors' Equipment; Reporting Conditions - Deposit Premium field missing,XXX-32400,207851,Cancelled,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
UAT1 | GL 1081 CP should not be attaching for Oregon,XXX-32399,207849,In UAT,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
stab3-CPP_CP+Crime +GL_Error details: The rate book 'ISO Crime AK v. AK_06012018_V01' does not contain the calc routine 'CR7LineManuscriptEndorsement_PC_Ext',XXX-32394,207844,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab 3_PC_CPP_Rating_getting invalid quote,XXX-32390,207839,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
UAT1 - Auto - Fleet & Non-Fleet Validation Error,XXX-32383,207830,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
UAT1 - Coverage Type should not be shown on Risks screen for COP,XXX-32382,207828,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab 3_CC_PSR_State value from vehicle details and class code details should be retrieved from PC to CC,XXX-32381,207827,Ready for QA,XXX,ANIC P&C Migration,Critical,Williams,ClaimCenter,,Coding
"Commercial Umbrella : only ""Premises/Operations and Products/Completed Operations"" subline GL policies are getting eligible for Commercial Umbrella Policy.",XXX-32379,207823,Done,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
Stab3_Rating_Commercial Auto_Cancellation_OK_Manuscript Premium is NOT displayed during Flat cancellation in Cost change detail tab.,XXX-32378,207821,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
stab3-XXX-31547_CPP_CP+Crime +GL_while clicking save draft getting application error ,XXX-32377,207807,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab 3_XXX-31547_PC_CPP_GL_Identity Recovery Coverage not displayed _CP& GL_All transaction,XXX-32376,207805,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_Rating_Commercial Auto_CA7ExperienceModPhyDam_PC_Ext & CA7ExperienceModlia_PC_Ext routines are not getting Triggered ,XXX-32375,207804,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
"Stab3_Rating_Commercial Property_New Business_UW Company with HI state for submission is not changeable in dropdown and defaulting to ""none"" ",XXX-32374,207803,Done,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
Prod| GL Paid Loss - 28 records errored out on 07/06,BBB-7817,207796,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
Prod| GWPC Stage to edw balance check failed on 07/07,BBB-7816,207795,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
LTI - AQR test automatically applies emod and split rated incorrectly,EEE-1669,207787,To Do,EEE,PolicyCenter,Very High,Williams,PolicyCenter,,Coding
Pricing Model Scheduled Rating applied incorrectly for submission not meeting premium eligibility threshold - TX,EEE-1668,207786,Cancelled,EEE,PolicyCenter,Very High,Williams,PolicyCenter,,Coding
Corvel Med - issue with EDWBatchId EDWBatchDate,DDD-5794,207785,Done,DDD,EDW QA COE,High,Peter,,,Coding
Data Fix - Access Layer - Settlement.PrimarySettlementIndicator,BBB-7814,207784,Done,BBB,EDW Production Operations,High,Andrea,,,Coding
Stab 3_PC_GL_ - Form ANIC IL 11 41 06 11 Cancellation Notice to Certificate Holders is not getting inferred Form is also not present in form inference sheet in any of the tabs ,XXX-32372,207783,Cancelled,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_PC_GL_ - New Submission- Payments screen - Check Audit is coming as 'No' by default while as per the requirements it should not have a default value,XXX-32371,207782,Done,XXX,ANIC P&C Migration,Low,David,PolicyCenter,,Coding
Stab 3_PC_GL_ - Forms pertaining to Interim and Final Audits are coming on Forms UI as well while these should only come under Documents,XXX-32370,207781,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_PC_GL_NewSubmission- UWI - 'MUTHRE not on the policy' is getting triggered even when NAICS code is not starting with '23',XXX-32369,207779,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
"Stab 3_PC_GL_Policy Change- Warning ""The Base State of <state> does not exist on one or more Sublines."" is blocking quote",XXX-32368,207778,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Not a Defect
"[Defect] Stab 3_PC_GL_Policy Change- Warning ""Employment Practices Liability: Warranty Statement required for mid-term Limit increase."" is coming and is blocking quote",XXX-32367,207776,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_PC_GL_Policy Change - Prior Losses Tab is not hidden,XXX-32366,207775,Cancelled,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
Stab 3_PC_GL_NewSubmission - Import/Export - Location deleted using import is appearing on the UI Locations screen after Deletion is performed,XXX-32365,207774,In Dev,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
Stab 3_PC_GL_NewSubmission - UWI - MUTHRE not on the policy is getting triggered even when Multi Unit Tract Housing is present on the policy,XXX-32364,207773,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab3_PC_CU - Enterprise Hazard Grade UW issue is not triggering ,XXX-32363,207772,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_Digital_PE-Policies tab -Pending Quotes - Non WC quote is displayed,XXX-32362,207770,Done,XXX,ANIC P&C Migration,Medium,Williams,Digital,,Requirements
Stab 3_PC_GL_NewSubmission - Import functionality is not working correctly when there is multi state and multi subline policy,XXX-32361,207769,Ready for Dev,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
Stab 3_PC_GL_NewSubmission-General Liability screen - Upon trying to change the value for Premises/Operations BI and PD Deductible from 'No Deductible' to any other value changed value is not getting updated on the UI,XXX-32360,207768,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_PC_GL_NewSubmission - General Liability screen - Unable to change the value of Premises/Operations PD Deductible,XXX-32359,207767,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab3_Rating_Commercial Auto_Policy Change_KS - MinimumPremium Routine is triggered even though the Total premium is > 100,XXX-32358,207766,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,Rating,,Coding
PC Config - CA - Even though state is removed on location but still showing in State specific ,XXX-32357,207765,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Not a Defect
PC Config - CU -Form ILU0540908 not triggered when CA policy added to CU Renewal,XXX-32356,207759,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Rating-MEL- Missing routine name  and book code for terrorism routine,XXX-32350,207751,Done,XXX,ANIC P&C Migration,Low,Williams,Rating,,Coding
Stab3_Digital_PE-Policies tab - Table columns are displayed incorrectly,XXX-32348,207734,Done,XXX,ANIC P&C Migration,Medium,Williams,Digital,,Coding
Stab 3_PC_GL_Policy Change - Getting invalid quote,XXX-32347,207730,Done,XXX,ANIC P&C Migration,Critical,David,Rating,,Coding
"Stab3_Rating_Commercial Auto_New Business_UW Company for Company Deviation Factor in Rate worksheet is always ""XYC Crop Casualty Insurance Company"" irrespective of UW Company selected in Quote Screen",XXX-32346,207725,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
Stab3-PC-IM-Contractors Equipment - Deductible dropdown and Percentage deductible% fields not working as per requirement,XXX-32344,207722,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_PC_MEL_NewSubmission - Roll deposit - quote screen issue and clearance Uwissue- MN state,XXX-32343,207721,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3_PC_MEL_PNC - Roll deposit - “Renewal Issued” should not have a default.  - ID state,XXX-32342,207718,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
[Complex-SME]:CA7 Auto Dealers Audit: Rate is not getting applied correctly to the slices during Final Audit post Mid-Term Policy Change for Audit Impacted Coverages under Auto Dealers.,XXX-32341,207716,In Dev,XXX,ANIC P&C Migration,High,Martin,Rating,,Coding
Stab3_PC Config_COP_NB_(Period From & Period To - these 2 fields alignment formatting is not correct for Peak Season Increase additional coverage) on Locations screen (Additional Coverages Tab),XXX-32340,207715,Done,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
Stab3_PC Config_COP_NB_(Render exception error is coming after adding Protective Safeguard condition on Building (Risks screen) (Exclusions & Conditions Tab) & then on navigating back to Exclusions & Conditions Tab on Risks screen,XXX-32339,207714,Ready for QA,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
IM Audit: Effective Expiry & Proration Columns should be added and respective dates should be displayed for all slices of the coverages and Subtotal should be displayed for Estimated Audited & Change in Premium,XXX-32338,207713,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Requirements
PROD| GL Paid Loss- 238 records and GL WrittenPremium- 34 records got errored out|07/04,BBB-7813,207712,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
CA- Policy Change - Getting invalid quote,XXX-32337,207711,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Prod | ANICRetroPolicyLoad Job Failure due to File Open At User's End,BBB-7812,207710,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
PROD| Output Feeds Quarterly ANICCalendarYearPremiumandExposureDump failed |07/04,BBB-7811,207709,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
Stab3_Rating_Commercial Auto_Getting Application error during Reinstatement transaction,XXX-32336,207707,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_Rating_Commercial Auto_Renewal_FL - Getting Application Error while click on Edit Policy transaction.,XXX-32335,207706,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_Digital_CE_Invoice Year dropdown on billing page is not syncing upon changing the account filter.,XXX-32334,207705,Done,XXX,ANIC P&C Migration,High,Williams,Digital,,Data
3.1 P&C | ODS RiskPC - Location Number UAR Number and UAR Type in RiskPC is not in Sync with ODS_RiskAuto.,AAA-4997,207704,Done,AAA,AAA,Medium,Williams,,,Coding
3.1 P&C | ODS Risk Auto Table - Outdated records are loaded ,AAA-4996,207703,Done,AAA,AAA,Medium,Williams,,,Coding
